objectid,stationcode,sampledate,agencycode,replicate,sampleid,benthiccollectioncomments,grabsize,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,benthiclabeffortcomments,finalid,lifestagecode,distinctcode,baresult,resqualcode,qacode,taxonomicqualifier,personnelcode_labeffort,personnelcode_results,labsampleid,locationcode,samplecomments,collectionmethodcode,effortqacode,record_origin,origin_lastupdatedate,record_publish,csci_sampleid,agencyname,collectionmethodname,originalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,login_owner,login_year,login_project,submissionid,ceden_publish,sampleinfo_originalid,bmisampleid,masterid
1570163845,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Cricotopus,L,0,105,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163846,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Cricotopus,P,0,18,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163847,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Cymbiodyta,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163848,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Dasyhelea,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163849,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Dixella,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163850,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Ecdyonurus criddlei,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163851,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Eukiefferiella,L,0,10,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163852,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Eukiefferiella,P,0,3,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163853,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Euparyphus,L,0,4,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163854,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Hemerodromia,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163855,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Heptageniidae,L,0,4,=,None,D,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163858,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Krenosmittia,P,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163859,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Labrundinia/ Nilotanypus,L,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163860,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Limnesia,X,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163861,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Limnophyes,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163862,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Meringodixa chalonensis,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163863,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Micropsectra,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163864,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Neohermes,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163865,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Oligochaeta,X,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163866,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Orthocladiinae,L,0,9,=,None,D,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163867,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Orthocladiinae,P,0,4,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163868,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Orthocladius complex,L,0,65,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163869,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Ostracoda,X,0,17,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163870,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Parametriocnemus,L,0,3,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163871,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Perlidae,L,0,1,=,None,I,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163872,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Polypedilum,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163873,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Pseudochironomus,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163874,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Rheocricotopus,L,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163875,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Rheotanytarsus,L,0,55,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163876,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Rheotanytarsus,P,0,4,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163877,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Sanfilippodytes,L,0,8,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163880,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Stenochironomus,L,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163881,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Stictotarsus striatellus,A,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163882,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Taenionema,L,0,24,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163883,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Tanytarsini,P,0,1,=,None,D,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163884,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Tanytarsus,L,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163885,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Thienemanniella,L,0,5,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163886,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Thienemanniella,P,0,1,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163887,801SANT1x,2013-03-12T07:00:00Z,Southern California Coastal Water Research Project,1,NA,NA,0.99,NA,7,5,2.875,600,600,2,2,NA,NA,Zavrelimyia/ Paramerina,L,0,2,=,None,None,NA,NA,20639,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_03122013_BMI_RWB_MCM_1,Southern California Coastal Water Research Project,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163889,801SANT1x,2013-04-01T07:00:00Z,AMEC Environment & Infrastructure,1,NA,NA,0.99,NA,6,6,6,600,505,0,9,NA,NA,Baetis,L,0,11,=,None,None,NA,NA,20643,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_04012013_BMI_RWB_MCM_1,AMEC Environment & Infrastructure,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
1570163891,801SANT1x,2013-04-01T07:00:00Z,AMEC Environment & Infrastructure,1,NA,NA,0.99,NA,6,6,6,600,505,0,9,NA,NA,Berosus,L,0,1,=,None,None,NA,NA,20643,X,NA,BMI_RWB_MCM,None,CEDEN,NA,NA,801SANT1x_04012013_BMI_RWB_MCM_1,AMEC Environment & Infrastructure,BMI_Margin-Ctr-Margin,NA,NA,NA,NA,1970-01-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,801SANT1x
